ts,host,soc,os,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,cpu_temp_c
2025-10-07_03:59:06,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,2048,128,2048,128,74.3823,28.4108,102.9920,102.8701,27.53,4.51,184,187,6577,81.3
2025-10-07_04:00:51,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,2048,128,2048,128,74.4459,28.8162,103.4609,103.3417,27.51,4.44,184,187,6579,80.8
2025-10-07_04:04:23,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,4096,32,4096,32,198.4434,8.4542,208.9153,208.7077,20.64,3.79,183,187,6506,81.8
2025-10-07_04:07:52,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,4096,32,4096,32,198.0106,8.4189,206.7205,206.5160,20.69,3.80,183,187,6503,81.3
2025-10-07_04:11:20,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,4096,32,4096,32,197.7174,8.4244,206.4290,206.2289,20.72,3.80,185,187,6492,79.3
2025-10-07_04:14:58,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,4096,64,4096,64,198.4880,16.8514,215.6271,215.4262,20.64,3.80,185,187,6493,79.8
2025-10-07_04:18:36,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,4096,64,4096,64,198.2990,16.9121,215.4986,215.2970,20.66,3.78,182,187,6493,80.8
2025-10-07_04:22:14,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,4096,64,4096,64,198.1818,16.8314,215.3137,215.1006,20.67,3.80,183,187,6490,80.8
2025-10-07_04:26:09,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,1,4,4096,128,4096,128,198.7409,33.5438,232.5784,232.3714,20.61,3.82,183,187,6487,80.8
2025-10-07_04:30:03,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,2,4,4096,128,4096,128,198.1372,33.9230,232.3504,232.1483,20.67,3.77,183,187,6482,80.3
2025-10-07_04:33:58,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-f16,3,4,4096,128,4096,128,198.4584,33.7739,232.5176,232.3185,20.64,3.79,183,187,6488,80.3
