ts,host,soc,os,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,cpu_temp_c
2025-10-07_21:25:55,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,1,2,512,128,59,128,2.6627,9.8701,13.6953,13.6618,22.16,12.97,192,197,7171,73.0
2025-10-07_21:26:11,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,2,2,512,128,59,128,2.6667,9.7740,13.5934,13.5621,22.12,13.10,195,197,7185,74.5
2025-10-07_21:26:27,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,3,2,512,128,59,128,2.6613,9.8078,13.6319,13.5992,22.17,13.05,194,197,7190,73.5
2025-10-07_21:26:39,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,1,2,1024,32,130,32,6.1173,2.3370,9.6078,9.5757,21.25,13.69,192,197,7184,73.0
2025-10-07_21:26:50,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,2,2,1024,32,130,32,6.1329,2.3430,9.6385,9.6068,21.20,13.66,196,197,7190,73.0
2025-10-07_21:27:02,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,3,2,1024,32,130,32,6.0322,2.3905,9.6325,9.5678,21.55,13.39,192,197,7145,74.5
2025-10-07_21:27:16,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,1,2,1024,64,130,64,6.0023,4.7713,11.9340,11.9010,21.66,13.41,196,197,7179,73.5
2025-10-07_21:27:30,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,2,2,1024,64,130,64,6.0637,4.8066,12.0237,11.9913,21.44,13.32,192,197,7163,73.5
2025-10-07_21:27:45,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,3,2,1024,64,130,64,6.0393,4.8339,12.0312,11.9991,21.53,13.24,196,197,7186,73.5
2025-10-07_21:28:04,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,1,2,1024,128,130,128,6.1109,9.7485,17.0256,16.9884,21.27,13.13,195,197,7193,74.5
2025-10-07_21:28:23,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,2,2,1024,128,130,128,6.0970,9.8068,17.0667,17.0325,21.32,13.05,193,197,7195,74.0
2025-10-07_21:28:42,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,3,2,1024,128,130,128,6.1186,9.6328,16.9024,16.8683,21.25,13.29,194,197,7186,73.5
2025-10-07_21:29:04,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,1,2,2048,32,312,32,15.4319,2.5870,19.1768,19.1428,20.22,12.37,193,198,7093,74.0
2025-10-07_21:29:25,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,2,2,2048,32,312,32,15.2562,2.4824,18.8989,18.8654,20.45,12.89,197,198,7176,74.5
2025-10-07_21:29:46,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,3,2,2048,32,312,32,15.3931,2.4938,19.0423,19.0093,20.27,12.83,194,198,7200,74.0
2025-10-07_21:30:10,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,1,2,2048,64,312,64,15.3021,5.1920,21.6566,21.6220,20.39,12.33,197,198,7197,74.5
2025-10-07_21:30:34,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,2,2,2048,64,312,64,15.5312,5.3843,22.0717,22.0367,20.09,11.89,194,198,7193,73.0
2025-10-07_21:30:58,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-260m-q5,3,2,2048,64,312,64,15.4603,5.1910,21.8100,21.7761,20.18,12.33,194,198,7194,74.5
