ts,host,soc,jetpack,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,avg_power_w,max_power_w,idle_power_w,net_power_w,energy_total_j,energy_per_generated_token_j,energy_per_all_tokens_j,avg_gpu_temp_c,avg_cpu_temp_c,throttling
2025-10-08_14:06:41,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,1024,32,130,32,3.5297,1.4925,6.3086,6.2811,36.83,21.44,142,153,2136,4.529,0.000,3.466,1.063,6.6768,0.208650,0.041215,41.0,45.5,no
2025-10-08_14:06:54,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,1024,64,130,64,3.5353,3.0739,6.6802,7.7745,36.77,20.82,144,153,2140,4.460,0.000,3.466,0.994,7.7279,0.120748,0.039835,41.2,45.0,no
2025-10-08_14:07:07,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,1024,64,130,64,3.5334,3.0394,6.6710,7.7563,36.79,21.06,145,153,2142,4.560,0.000,3.446,1.114,8.6405,0.135008,0.044539,41.2,44.5,no
2025-10-08_14:07:20,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,1024,64,130,64,3.5329,3.0642,6.6869,7.7854,36.80,20.89,145,153,2143,4.564,0.000,2.591,1.973,15.3606,0.240009,0.079178,41.2,45.0,no
2025-10-08_14:07:37,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,1024,128,130,128,3.5326,6.2186,6.6920,10.9292,36.80,20.58,147,153,2141,4.632,0.000,2.613,2.019,22.0661,0.172391,0.085528,41.0,45.3,no
2025-10-08_14:07:53,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,1024,128,130,128,3.5288,6.2772,6.7255,11.0201,36.84,20.39,148,153,2139,4.638,0.000,2.613,2.025,22.3157,0.174341,0.086495,41.7,45.0,no
2025-10-08_14:08:09,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,1024,128,130,128,3.4891,6.2268,6.6185,10.8945,37.26,20.56,148,153,2137,4.635,0.000,2.593,2.042,22.2466,0.173802,0.086227,42.0,46.8,no
2025-10-08_14:08:27,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,2048,32,312,32,8.9307,1.5966,11.7292,11.6987,34.94,20.04,142,153,2144,4.514,0.000,2.611,1.903,22.2626,0.695706,0.064717,42.0,47.5,no
2025-10-08_14:08:44,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,2048,32,312,32,8.8273,1.5950,11.6549,11.6266,35.34,20.06,145,153,2133,4.524,0.000,2.613,1.911,22.2184,0.694325,0.064588,42.2,45.7,no
2025-10-08_14:09:01,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,2048,32,312,32,8.9140,1.6043,11.7191,11.6911,35.00,19.95,141,153,2146,4.518,0.000,2.593,1.925,22.5054,0.703294,0.065423,42.1,47.0,no
2025-10-08_14:09:20,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,2048,64,312,64,8.9270,3.2517,12.1300,13.3595,34.95,19.68,145,153,2141,4.533,0.000,2.609,1.924,25.7037,0.401620,0.068361,42.5,47.3,no
2025-10-08_14:09:38,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,2048,64,312,64,8.8965,3.2365,12.0981,13.3174,35.07,19.77,145,153,2142,4.559,0.000,2.611,1.948,25.9423,0.405348,0.068995,43.2,47.2,no
2025-10-08_14:09:57,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,2048,64,312,64,8.8345,3.2605,12.1310,13.3103,35.32,19.63,142,153,2141,4.580,0.000,2.629,1.951,25.9684,0.405756,0.069065,44.0,47.6,no
2025-10-08_14:10:19,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,2048,128,312,128,8.8136,6.6364,12.0114,16.6258,35.40,19.29,141,153,2143,4.616,0.000,2.611,2.005,33.3347,0.260427,0.075761,43.7,47.1,no
2025-10-08_14:10:41,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,2048,128,312,128,8.8297,6.6034,12.0709,16.6082,35.34,19.38,143,153,2142,4.628,0.000,2.589,2.039,33.8641,0.264563,0.076964,43.6,46.9,no
2025-10-08_14:11:03,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,2048,128,312,128,8.8380,6.6373,12.0515,16.6538,35.30,19.28,141,153,2140,4.623,0.000,2.648,1.975,32.8913,0.256963,0.074753,43.5,47.5,no
2025-10-08_14:11:32,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,4096,32,659,32,20.1768,1.7798,23.1667,23.1343,32.66,17.98,144,153,2138,4.519,0.000,2.631,1.888,43.6776,1.364925,0.063209,44.7,48.5,no
2025-10-08_14:12:01,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,4096,32,659,32,20.2989,1.7654,23.2752,23.2444,32.46,18.13,142,153,2137,4.500,0.000,2.671,1.829,42.5140,1.328563,0.061525,44.9,49.6,no
2025-10-08_14:12:29,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,4096,32,659,32,20.1115,1.7714,23.1270,23.0939,32.77,18.06,141,153,2136,4.527,0.000,2.609,1.918,44.2941,1.384191,0.064101,44.6,48.8,no
2025-10-08_14:13:00,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,4096,64,659,64,20.3416,3.6162,23.7784,25.1308,32.40,17.70,144,153,2131,4.535,0.000,2.648,1.887,47.4218,0.740966,0.065590,44.8,49.6,no
2025-10-08_14:13:31,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,4096,64,659,64,20.2726,3.6541,23.7340,25.1075,32.51,17.51,142,153,2139,4.529,0.000,2.629,1.900,47.7043,0.745380,0.065981,45.6,49.5,no
2025-10-08_14:14:01,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,4096,64,659,64,20.3458,3.6137,23.7822,25.1379,32.39,17.71,144,153,2140,4.525,0.000,2.648,1.877,47.1838,0.737247,0.065261,45.3,49.9,no
2025-10-08_14:14:35,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,4096,128,659,128,20.3305,7.3964,23.7689,28.9030,32.41,17.31,142,153,2139,4.573,0.000,2.629,1.944,56.1874,0.438964,0.071394,45.8,49.8,no
2025-10-08_14:15:10,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,4096,128,659,128,20.3377,7.3763,23.7841,28.9053,32.40,17.35,144,153,2139,4.593,0.000,2.648,1.945,56.2208,0.439225,0.071437,45.9,49.6,no
2025-10-08_14:15:44,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,4096,128,659,128,20.3352,7.3073,23.7822,28.8363,32.41,17.52,145,153,2128,4.581,0.000,2.629,1.952,56.2885,0.439754,0.071523,46.2,50.4,no
2025-10-08_14:15:53,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,4,512,32,59,32,0.7902,0.9475,2.9494,2.9207,74.66,33.77,142,153,2131,5.227,0.000,2.651,2.576,7.5237,0.235116,0.082678,45.5,48.0,no
2025-10-08_14:16:01,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,4,512,32,59,32,0.8408,0.8857,2.9436,2.9153,70.17,36.13,142,153,2123,5.207,0.000,2.533,2.674,7.7955,0.243609,0.085665,45.0,48.0,no
2025-10-08_14:16:09,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,4,512,32,59,32,0.8481,0.9405,2.9923,2.9632,69.57,34.02,142,153,2123,5.244,0.000,2.629,2.615,7.7488,0.242150,0.085152,46.0,50.0,no
2025-10-08_14:16:19,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,4,512,64,59,64,0.8585,1.9847,3.2808,4.0287,68.72,32.25,145,153,2123,5.737,0.000,2.513,3.224,12.9885,0.202945,0.105598,45.0,51.5,no
2025-10-08_14:16:28,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,4,512,64,59,64,0.7981,1.9449,3.2650,3.9190,73.93,32.91,145,153,2129,5.666,0.000,2.649,3.017,11.8236,0.184744,0.096127,45.7,49.5,no
2025-10-08_14:16:38,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,4,512,64,59,64,0.8495,1.8933,3.2402,3.9251,69.45,33.80,148,153,2117,5.639,0.000,2.591,3.048,11.9637,0.186933,0.097266,45.7,51.0,no
2025-10-08_14:16:49,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,4,512,128,59,128,0.7886,4.0879,3.1941,6.0591,74.82,31.31,146,153,2133,5.793,0.000,2.593,3.200,19.3891,0.151477,0.103685,46.0,51.0,no
2025-10-08_14:17:01,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,4,512,128,59,128,0.8440,4.0160,3.3140,6.0580,69.91,31.87,146,153,2117,6.048,0.000,2.648,3.400,20.5972,0.160916,0.110145,45.8,50.2,no
2025-10-08_14:17:12,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,4,512,128,59,128,0.8659,4.0762,3.3145,6.1295,68.14,31.40,151,153,2118,6.022,0.000,2.609,3.413,20.9200,0.163438,0.111872,45.8,52.0,no
2025-10-08_14:17:22,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,4,1024,32,130,32,1.8320,0.9371,3.9847,3.9539,70.96,34.15,145,153,2118,5.614,0.000,2.668,2.946,11.6482,0.364006,0.071902,46.0,0.0,no
2025-10-08_14:17:31,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,4,1024,32,130,32,1.7863,0.9901,3.9723,3.9440,72.78,32.32,144,153,2125,5.562,0.000,2.591,2.971,11.7176,0.366175,0.072331,46.0,50.0,no
2025-10-08_14:17:40,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,4,1024,32,130,32,1.8358,0.9376,3.9738,3.9476,70.81,34.13,147,153,2120,5.514,0.000,2.593,2.921,11.5309,0.360341,0.071178,0.0,52.0,no
