ts,host,soc,jetpack,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,avg_power_w,max_power_w,idle_power_w,net_power_w,energy_total_j,energy_per_generated_token_j,energy_per_all_tokens_j,avg_gpu_temp_c,avg_cpu_temp_c,throttling
2025-10-08_14:44:14,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,1,2,512,32,59,32,3.8780,2.7027,8.5526,8.5220,15.21,11.84,153,164,2089,5.003,0.000,2.784,2.219,18.9103,0.590947,0.207805,52.8,57.8,no
2025-10-08_14:44:28,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,2,2,512,32,59,32,3.9105,2.6767,7.7952,7.7664,15.09,11.96,156,164,2092,5.078,0.000,2.804,2.274,17.6608,0.551900,0.194075,53.2,57.4,no
2025-10-08_14:44:41,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,3,2,512,32,59,32,3.8996,2.7429,8.1131,8.0830,15.13,11.67,152,164,2098,5.137,0.000,2.724,2.413,19.5043,0.609509,0.214333,52.4,57.3,no
2025-10-08_14:44:57,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,1,2,512,64,59,64,3.8815,5.5246,8.5927,10.5886,15.20,11.58,156,164,2092,5.197,0.000,2.744,2.453,25.9738,0.405841,0.211169,52.4,57.2,no
2025-10-08_14:45:13,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,2,2,512,64,59,64,3.8839,5.4888,8.5491,10.5389,15.19,11.66,156,164,2093,5.198,0.000,2.764,2.434,25.6517,0.400808,0.208550,52.8,56.6,no
2025-10-08_14:45:29,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,3,2,512,64,59,64,3.9217,5.4862,8.8558,10.8461,15.04,11.67,158,164,2092,5.174,0.000,2.744,2.430,26.3560,0.411813,0.214276,52.5,57.3,no
2025-10-08_14:45:51,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,1,2,512,128,59,128,3.8956,11.1468,8.8208,16.4843,15.15,11.48,156,164,2095,5.282,0.000,2.744,2.538,41.8372,0.326853,0.223728,52.7,56.6,no
2025-10-08_14:46:13,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,2,2,512,128,59,128,3.9236,11.1570,8.5896,16.2497,15.04,11.47,159,164,2086,5.270,0.000,2.704,2.566,41.6967,0.325755,0.222977,52.7,56.3,no
2025-10-08_14:46:35,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,3,2,512,128,59,128,3.9286,11.1093,8.8416,16.4737,15.02,11.52,155,164,2090,5.280,0.000,2.744,2.536,41.7773,0.326385,0.223408,52.6,57.1,no
2025-10-08_14:46:53,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-260m-q5,1,2,1024,32,130,32,8.7970,2.7726,13.0183,12.9912,14.78,11.54,156,164,2094,4.997,0.000,2.744,2.253,29.2692,0.914663,0.180674,53.0,56.7,no
